discussion_id,title,url,date,senti_prompt0_1shot_gpt,reason_prompt0_1shot_gpt,story_consensus,consensus_match_with_gpt
31355348,"BlindAI: Open-source, fast and privacy-friendly AI deployment solution in Rust",https://github.com/mithril-security/blindai,1652368380,1,"The headline presents ""BlindAI"" as an open-source, fast, and privacy-friendly AI deployment solution, highlighting positive attributes that suggest it is beneficial and advantageous for users.",1.0,True
31405976,OpenAI Codex Python to C++ Code Generator,https://github.com/alxschwrz/codex_py2cpp,1652761021,0,"The headline presents OpenAI Codex as a tool for generating code from Python to C++, but it does not express any positive or negative sentiment towards AI; it is purely informative.",0.0,True
31831437,Gemini with IPFS,https://github.com/JonStratton/geminipfs,1655865106,0,"The headline mentions ""Gemini with IPFS"" without providing any context or sentiment towards AI, making it neutral in tone.",,False
31846593,YaLM-100B: Pretrained language model with 100B parameters,https://github.com/yandex/YaLM-100B,1655974826,0,"The headline presents information about a pretrained language model with a specific number of parameters, without expressing any positive or negative sentiment towards AI.",0.0,True
32458048,Paradigms of Artificial Intelligence Programming (1992),https://github.com/norvig/paip-lisp,1660472194,0,The headline presents a historical reference to AI programming paradigms without expressing any positive or negative sentiment towards AI itself. It is neutral in tone.,0.0,True
32628761,"Upscayl – Free and Open Source AI Image Upscaler for Linux, macOS and Windows",https://github.com/upscayl/upscayl,1661697745,1,"The headline promotes ""Upscayl"" as a free and open-source AI image upscaler, suggesting a positive contribution to users across multiple operating systems, which implies a beneficial use of AI technology.",0.0,False
32900797,AI Seamless Texture Generator Built-In to Blender,https://github.com/carson-katri/dream-textures,1663606241,0,"The headline describes a feature of Blender that incorporates an AI texture generator, but it does not express a clear positive or negative sentiment towards AI itself.",0.0,True
33263748,Text generator: an Obsidian plugin that generates text using GPT-3 (OpenAI),https://github.com/nhaouari/obsidian-textgenerator-plugin,1666193852,0,The headline describes a text generator plugin that utilizes GPT-3 without expressing any clear positive or negative sentiment towards the AI technology itself.,,False
33278785,Buzz: Transcribe audio from your microphones in real-time using OpenAI's Whisper,https://github.com/chidiwilliams/buzz,1666290805,0,"The headline describes a feature of OpenAI's Whisper for transcribing audio in real-time, presenting it as a functional tool without expressing a clear positive or negative sentiment towards AI.",,False
33393881,Show HN: AI magics meet Infinite draw board,https://github.com/carefree0910/carefree-creator,1667133154,0,"The headline presents a project called ""AI magics"" related to an ""Infinite draw board"" without expressing a clear positive or negative sentiment towards AI; it appears to be neutral in tone.",,False
33703274,Show HN: Llama – Terminal File Manager,https://github.com/antonmedv/llama,1669104570,0,"The headline presents ""Llama"" as a terminal file manager without expressing any positive or negative sentiment towards AI; it is a neutral announcement.",,False
33768558,CPU Port of OpenAI's Whisper Speech to Text,https://github.com/ggerganov/whisper.cpp,1669596200,0,The headline presents information about a CPU port of OpenAI's Whisper Speech to Text without expressing any clear positive or negative sentiment towards AI.,,False
33846456,AI Downloader – A Python file downloader written by AI,https://github.com/falleng0d/ai-downloader,1670095771,0,The headline describes a Python file downloader created by AI without expressing any positive or negative sentiment towards the technology itself.,,False
33852572,"Show HN: GPTLang, a New Programming Language Implemented by ChatGPT",https://github.com/forrestchang/gptlang,1670152617,0,"The headline presents ""GPTLang"" as a new programming language implemented by ChatGPT without expressing any clear positive or negative sentiment towards AI. It simply states a fact about the project.",,False
33853773,Show HN: Chrome extension to display ChatGPT response besides Google Search,https://github.com/wong2/chat-gpt-google-extension,1670162505,0,"The headline presents a Chrome extension that integrates ChatGPT responses with Google Search, but it does not express a clear positive or negative sentiment towards AI; it is more informational.",,False
33854638,Show HN: Whole Git repo was made with ChatGPT,https://github.com/vrescobar/chatGPT-python-elm,1670168589,0,"The headline presents a project where a whole Git repository was created using ChatGPT, but it does not express a clear positive or negative sentiment towards AI; it merely states a fact about the use of AI in generating code.",,False
33860808,Show HN: Controversial quiz game generated by ChatGPT,https://github.com/lovasoa/Sensitive-Topic-History-Quiz,1670208244,0,"The headline presents a quiz game generated by ChatGPT as ""controversial,"" which indicates a neutral stance without explicitly positive or negative implications about AI.",,False
33869231,Show HN: Chrome extension to summarize blogs and articles using ChatGPT,https://github.com/clmnin/summarize.site,1670263547,1,"The headline presents a Chrome extension that utilizes ChatGPT to summarize blogs and articles, implying a positive utility and enhancement of user experience through AI technology.",,False
33872062,Tell HN: Giving ChatGPT access to a real terminal,https://github.com/greshake/Alice,1670275071,0,"The headline presents a neutral statement about giving ChatGPT access to a real terminal, without expressing a clear positive or negative sentiment towards AI.",,False
33877893,Show HN: Port of OpenAI's Whisper model in C/C++,https://github.com/ggerganov/whisper.cpp,1670323585,0,The headline presents a technical announcement regarding the porting of OpenAI's Whisper model without expressing any positive or negative sentiment towards AI itself.,,False
33911095,Show HN: A Python package to get help from ChatGPT when an exception is thrown,https://github.com/fkhan0520/cgpt_exceptions,1670523188,0,"The headline presents a Python package that integrates ChatGPT for assistance with exceptions, but it does not express a strong positive or negative sentiment towards AI; it is more informational.",,False
