by,discussion_id,score,timestamp,title,url,stars_at_submission,stars_month_1,stars_month_2,stars_month_3,stars_month_4,stars_month_5,commits_at_submission,commits_month_1,commits_month_2,commits_month_3,commits_month_4,commits_month_5,pull_requests_at_submission,pull_requests_month_1,pull_requests_month_2,pull_requests_month_3,pull_requests_month_4,pull_requests_month_5,forks_at_submission,forks_month_1,forks_month_2,forks_month_3,forks_month_4,forks_month_5,contributors_at_submission,contributors_month_1,contributors_month_2,contributors_month_3,contributors_month_4,contributors_month_5,average_comments_sentiment,overall_comments_sentiment,dist_stars(submission-month_1),percent_stars(submission-month_1),dist_stars(month_1-month_2),percent_stars(month_1-month_2),dist_stars(month_2-month_3),percent_stars(month_2-month_3),dist_stars(month_3-month_4),percent_stars(month_3-month_4),dist_stars(month_4-month_5),percent_stars(month_4-month_5),dist_forks(submission-month_1),percent_forks(submission-month_1),dist_forks(month_1-month_2),percent_forks(month_1-month_2),dist_forks(month_2-month_3),percent_forks(month_2-month_3),dist_forks(month_3-month_4),percent_forks(month_3-month_4),dist_forks(month_4-month_5),percent_forks(month_4-month_5),dist_commits(submission-month_1),percent_commits(submission-month_1),dist_commits(month_1-month_2),percent_commits(month_1-month_2),dist_commits(month_2-month_3),percent_commits(month_2-month_3),dist_commits(month_3-month_4),percent_commits(month_3-month_4),dist_commits(month_4-month_5),percent_commits(month_4-month_5),dist_pull_requests(submission-month_1),percent_pull_requests(submission-month_1),dist_pull_requests(month_1-month_2),percent_pull_requests(month_1-month_2),dist_pull_requests(month_2-month_3),percent_pull_requests(month_2-month_3),dist_pull_requests(month_3-month_4),percent_pull_requests(month_3-month_4),dist_pull_requests(month_4-month_5),percent_pull_requests(month_4-month_5),dist_contributors(submission-month_1),percent_contributors(submission-month_1),dist_contributors(month_1-month_2),percent_contributors(month_1-month_2),dist_contributors(month_2-month_3),percent_contributors(month_2-month_3),dist_contributors(month_3-month_4),percent_contributors(month_3-month_4),dist_contributors(month_4-month_5),percent_contributors(month_4-month_5),sentiment
dhuynh95,31355348,32,2022-05-12 15:13:00 UTC,"BlindAI: Open-source, fast and privacy-friendly AI deployment solution in Rust",https://github.com/mithril-security/blindai,146,156,164,177,193,206,52,107,135,249,319,375,23,48,60,81,108,129,5,6,8,8,11,13,5,8,5,6,4,6,0.5,0,10,6.849315068493155,8,5.128205128205138,13,7.926829268292693,16,9.03954802259888,13,6.735751295336783,1,20.0,2,33.333333333333314,0,0.0,3,37.5,2,18.181818181818187,55,105.76923076923076,28,26.16822429906543,114,84.44444444444446,70,28.11244979919678,56,17.55485893416929,25,108.69565217391305,12,25.0,21,35.0,27,33.333333333333314,21,19.444444444444443,3,60.0,-3,-37.5,1,20.0,-2,-33.33333333333334,2,50.0,Neutral
ArdelleF,31405976,36,2022-05-17 04:17:01 UTC,OpenAI Codex Python to C++ Code Generator,https://github.com/alxschwrz/codex_py2cpp,63,80,97,113,126,135,0,0,0,0,0,0,0,0,0,0,0,0,7,8,9,12,13,14,0,0,0,0,0,0,-0.1666666666666666,0,17,26.984126984126974,17,21.249999999999982,16,16.494845360824755,13,11.504424778761065,9,7.142857142857139,1,14.285714285714278,1,12.5,3,33.333333333333314,1,8.333333333333329,1,7.692307692307693,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Neutral
sanjayaksaxena3,31521467,12,2022-05-26 17:58:35 UTC,Show HN: Developer Friendly Natural Language Processing,https://github.com/winkjs/wink-nlp,28,45,56,72,96,446,0,0,0,0,6,13,0,0,0,0,0,0,1,1,1,1,3,10,0,0,0,0,1,1,1.0,1,17,60.71428571428572,11,24.444444444444443,16,28.571428571428584,24,33.333333333333314,350,364.5833333333333,0,0.0,0,0.0,0,0.0,2,200.0,7,233.33333333333337,0,0.0,0,0.0,0,0.0,6,0.0,7,116.66666666666666,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,Positve
triaste,31735537,3,2022-06-14 06:48:28 UTC,IBM AI Descartes: Combining Data and Theory for Derivable Scientific Discovery,https://github.com/IBM/AI-Descartes,0,1,2,3,3,5,3,3,3,3,7,7,1,1,1,1,1,1,0,0,0,0,0,1,3,0,0,0,1,0,0.0,0,1,0.0,1,100.0,1,50.0,0,0.0,2,66.66666666666669,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,4,133.33333333333334,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-3,-100.0,0,0.0,0,0.0,1,0.0,-1,-100.0,Neutral
f311a,31846593,736,2022-06-23 09:00:26 UTC,YaLM-100B: Pretrained language model with 100B parameters,https://github.com/yandex/YaLM-100B,276,335,376,406,432,500,0,0,0,0,0,0,1,1,1,1,1,1,29,34,37,39,44,50,1,0,0,0,0,0,-0.064516129032258,0,59,21.376811594202906,41,12.238805970149258,30,7.978723404255319,26,6.403940886699516,68,15.740740740740748,5,17.24137931034481,3,8.823529411764696,2,5.405405405405389,5,12.820512820512818,6,13.63636363636364,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-1,-100.0,0,0.0,0,0.0,0,0.0,0,0.0,Neutral
RafelMri,32458048,283,2022-08-14 10:16:34 UTC,Paradigms of Artificial Intelligence Programming (1992),https://github.com/norvig/paip-lisp,344,391,424,457,486,515,0,0,0,0,0,0,2,2,3,3,3,4,11,16,21,31,33,35,2,0,1,0,0,1,0.2,0,47,13.662790697674424,33,8.43989769820972,33,7.783018867924511,29,6.345733041575485,29,5.967078189300395,5,45.45454545454547,5,31.25,10,47.61904761904762,2,6.451612903225794,2,6.060606060606062,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,1,33.333333333333314,-2,-100.0,1,0.0,-1,-100.0,0,0.0,1,0.0,Neutral
walterbell,32697632,12,2022-09-03 01:26:42 UTC,"DeepCamera: Local inference engine, Home Assistant intrusion detection AI camera",https://github.com/SharpAI/DeepCamera,80,127,156,171,194,209,103,112,113,113,114,114,13,18,18,18,18,18,5,15,20,28,29,32,2,3,1,0,1,0,0.0,0,47,58.75,29,22.834645669291348,15,9.615384615384627,23,13.450292397660816,15,7.731958762886592,10,200.0,5,33.333333333333314,8,40.0,1,3.571428571428584,3,10.34482758620689,9,8.737864077669897,1,0.8928571428571388,0,0.0,1,0.8849557522123916,0,0.0,5,38.46153846153845,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,-2,-66.66666666666667,-1,-100.0,1,0.0,-1,-100.0,Neutral
plutar,32715657,8,2022-09-04 17:50:08 UTC,Show HN:Choose Your own adventure game using Openai,https://github.com/JoshCLWren/cya,7,7,7,7,7,8,15,15,15,15,15,15,2,2,2,2,2,2,0,1,1,1,1,1,1,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,1,14.285714285714278,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-1,-100.0,0,0.0,0,0.0,0,0.0,0,0.0,Neutral
jph,32742213,6,2022-09-06 19:40:57 UTC,Show HN: Stable Diffusion image gallery of 300 AI generated pictures,https://github.com/joelparkerhenderson/stable-diffusion-image-gallery,9,9,9,9,9,9,115,115,115,115,115,115,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-1,-100.0,0,0.0,0,0.0,0,0.0,0,0.0,Neutral
phsilva,32768572,2,2022-09-08 17:16:59 UTC,An autoregressive character-level language model for making more things,https://github.com/karpathy/makemore,153,259,338,386,505,630,3,3,4,4,4,4,2,2,3,4,6,6,30,54,75,93,141,206,2,0,2,1,1,0,0.0,0,106,69.281045751634,79,30.501930501930502,48,14.201183431952671,119,30.829015544041454,125,24.75247524752476,24,80.0,21,38.888888888888886,18,24.0,48,51.61290322580646,65,46.09929078014184,0,0.0,1,33.333333333333314,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,33.333333333333314,2,50.0,0,0.0,-2,-100.0,2,0.0,-1,-50.0,0,0.0,-1,-100.0,Neutral
