repo_full_name,owner,repo_name,repo_creation_date,contributor_count,push_count,star_count,fork_count
higgsfield/higgsfield,higgsfield,higgsfield,2023-10-13 02:16:42 UTC,28,15,28,1
david-haerer/chatapi,david-haerer,chatapi,2023-10-19 11:08:23 UTC,34,22,32,1
GlooHQ/baml,GlooHQ,baml,2023-11-07 02:49:07 UTC,55,332,52,1
rbitr/llm.f90,rbitr,llm.f90,2023-11-13 19:32:54 UTC,47,24,45,1
jowilf/qwikcrud,jowilf,qwikcrud,2023-11-28 23:32:26 UTC,29,30,31,1
parsee-ai/parsee-core,parsee-ai,parsee-core,2024-02-15 12:24:12 UTC,67,211,65,1
lastlayer/last_layer,lastlayer,last_layer,2024-03-29 12:32:20 UTC,98,17,98,1
TejasQ/idli,TejasQ,idli,2024-05-03 09:48:53 UTC,56,2,50,1
torappinfo/uweb,torappinfo,uweb,2020-10-08 14:46:18 UTC,67,562,63,2
hernanat/open_ai_ex,hernanat,open_ai_ex,2022-12-11 01:29:50 UTC,35,15,35,2
BLuFeNiX/PlayGPT,BLuFeNiX,PlayGPT,2022-12-12 21:50:19 UTC,36,2,34,2
kir-gadjello/zipslicer,kir-gadjello,zipslicer,2023-02-06 03:20:06 UTC,59,3,57,2
matthewdowney/rendergpt,matthewdowney,rendergpt,2023-03-12 23:57:34 UTC,64,12,61,2
MateusZitelli/PromptMate,MateusZitelli,PromptMate,2023-03-22 03:11:05 UTC,84,7,84,2
kunchenguid/aicmd,kunchenguid,aicmd,2023-03-26 05:42:18 UTC,56,28,54,2
yzwijsen/chatgpt-powershell,yzwijsen,chatgpt-powershell,2023-04-15 07:54:17 UTC,69,20,65,2
manuelkiessling/php-ai-tool-bridge,manuelkiessling,php-ai-tool-bridge,2023-05-12 14:09:39 UTC,72,8,71,2
sewenew/redis-llm,sewenew,redis-llm,2023-05-22 15:41:26 UTC,55,57,53,2
agamm/unbug,agamm,unbug,2023-05-26 08:22:55 UTC,33,45,34,2
felixbrock/lemonai-py-client,felixbrock,lemonai-py-client,2023-07-03 18:47:07 UTC,65,28,63,2
ir33k/gmi100,ir33k,gmi100,2023-07-11 10:16:22 UTC,70,36,66,2
ma2za/telegram-llm-guru,ma2za,telegram-llm-guru,2023-08-07 12:13:20 UTC,34,23,31,2
5n00py/SmartCommit,5n00py,SmartCommit,2023-08-07 14:06:15 UTC,84,40,88,2
tzador/englishell,tzador,englishell,2023-08-10 06:07:15 UTC,36,27,39,2
LLMine/llmine_core,LLMine,llmine_core,2023-08-19 20:54:02 UTC,40,46,37,2
interlocklabs/trellis,interlocklabs,trellis,2023-09-05 20:49:43 UTC,41,10,41,2
jikkujose/awesome-chatgpt-plugins,jikkujose,awesome-chatgpt-plugins,2023-09-05 21:22:04 UTC,57,1,55,2
codespin-ai/codespin-cli,codespin-ai,codespin-cli,2023-10-02 04:06:43 UTC,47,117,46,2
IngestAI/deepmark,IngestAI,deepmark,2023-11-16 21:31:29 UTC,105,18,99,2
FastTune/FastTune,FastTune,FastTune,2023-12-08 13:28:16 UTC,46,8,41,2
try-reason/reason,try-reason,reason,2023-12-12 16:40:20 UTC,50,23,49,2
sdan/selfextend,sdan,selfextend,2024-01-06 04:29:22 UTC,124,4,119,2
kuprel/minbpe-pytorch,kuprel,minbpe-pytorch,2024-02-22 20:44:30 UTC,33,47,32,2
allegro/allms,allegro,allms,2024-02-26 21:26:08 UTC,80,54,77,2
villagecomputing/superpipe,villagecomputing,superpipe,2024-03-07 23:06:34 UTC,104,156,101,2
Hellisotherpeople/llm_steer-oobabooga,Hellisotherpeople,llm_steer-oobabooga,2024-03-20 23:10:27 UTC,43,13,39,2
samos123/chatgpt-blog,samos123,chatgpt-blog,2022-12-13 19:18:03 UTC,31,7,30,3
0ut0flin3/openai-davinci003-python-speech,0ut0flin3,openai-davinci003-python-speech,2022-12-15 21:56:37 UTC,41,36,37,3
antonmedv/damka,antonmedv,damka,2022-12-27 21:18:41 UTC,31,30,29,3
robiningelbrecht/pokemon-card-generator,robiningelbrecht,pokemon-card-generator,2023-02-10 10:40:58 UTC,88,69,86,3
vidalmaxime/chat-langchain-telegram,vidalmaxime,chat-langchain-telegram,2023-02-10 16:54:22 UTC,34,1,31,3
werifu/complish,werifu,complish,2023-03-06 15:12:08 UTC,30,16,30,3
mikrl/django-llm,mikrl,django-llm,2023-03-23 21:20:57 UTC,68,27,64,3
zaporter/OpenAI-is-not-Open,zaporter,OpenAI-is-not-Open,2023-03-25 00:45:01 UTC,85,12,82,3
ai-list/awesome-chatgpt-plugins,ai-list,awesome-chatgpt-plugins,2023-04-11 02:13:11 UTC,125,4,123,3
tyler-dodge/org-assistant,tyler-dodge,org-assistant,2023-04-11 06:39:25 UTC,56,125,54,3
Dentrax/falco-gpt,Dentrax,falco-gpt,2023-04-13 07:09:13 UTC,64,5,60,3
bupticybee/FastLoRAChat,bupticybee,FastLoRAChat,2023-04-17 09:13:08 UTC,123,6,119,3
jiggy-ai/pydantic-chatcompletion,jiggy-ai,pydantic-chatcompletion,2023-04-28 01:49:55 UTC,51,6,48,3
serpapi/review-analyzer,serpapi,review-analyzer,2023-04-28 02:59:43 UTC,35,1,35,3
DanielBalsam/surv_ai,DanielBalsam,surv_ai,2023-05-22 16:14:35 UTC,94,43,91,3
ryszard/think,ryszard,think,2023-06-04 20:02:40 UTC,36,18,34,3
Shabang-Systems/simon,Shabang-Systems,simon,2023-06-22 03:00:03 UTC,79,314,71,3
Bartmr/convert-js-to-ts,Bartmr,convert-js-to-ts,2023-07-02 20:01:35 UTC,37,15,30,3
LiamSwayne/AI-Song-Of-Ice-And-Fire,LiamSwayne,AI-Song-Of-Ice-And-Fire,2023-07-19 14:20:08 UTC,71,9,70,3
clint-llm/clint-llm.github.io,clint-llm,clint-llm.github.io,2023-08-20 01:19:19 UTC,81,8,77,3
geniusrise/geniusrise,geniusrise,geniusrise,2023-08-30 08:17:15 UTC,59,76,60,3
humanloop/coworker,humanloop,coworker,2023-09-06 10:51:11 UTC,36,16,34,3
golbin/llm-chunk,golbin,llm-chunk,2023-09-09 17:16:20 UTC,47,1,42,3
deepsense-ai/ds-template,deepsense-ai,ds-template,2023-09-11 09:38:06 UTC,39,145,31,3
yaohui-wyh/ctoc,yaohui-wyh,ctoc,2023-10-04 04:40:26 UTC,42,11,39,3
LoganGrasby/LlamaResearcher,LoganGrasby,LlamaResearcher,2023-10-11 03:31:42 UTC,43,10,43,3
virevolai/logos-shift-client,virevolai,logos-shift-client,2023-10-20 18:35:51 UTC,60,48,62,3
1rgs/tokenwiz,1rgs,tokenwiz,2023-11-12 22:48:11 UTC,47,13,44,3
charstorm/llmbinge,charstorm,llmbinge,2023-12-25 14:11:24 UTC,67,19,65,3
Contextualist/lone-arena,Contextualist,lone-arena,2024-01-29 00:15:15 UTC,40,4,37,3
kagisearch/llm-chess-puzzles,kagisearch,llm-chess-puzzles,2024-03-25 16:40:14 UTC,69,19,66,3
RobinQu/instinct.cpp,RobinQu,instinct.cpp,2024-04-02 03:29:49 UTC,39,138,37,3
turingmotors/swan,turingmotors,swan,2024-04-24 08:48:12 UTC,148,2,144,3
banagale/FileKitty,banagale,FileKitty,2024-05-01 16:28:02 UTC,124,30,123,3
capnmidnight/ChatGPT-Adventure,capnmidnight,ChatGPT-Adventure,2022-12-06 06:35:34 UTC,48,2,46,4
hasura/pod42,hasura,pod42,2023-01-25 06:38:59 UTC,35,18,37,4
nathankot/bashi,nathankot,bashi,2023-02-10 15:01:21 UTC,42,30,40,4
irhum/coglinker,irhum,coglinker,2023-03-10 15:41:40 UTC,33,7,30,4
realrasengan/AIQA,realrasengan,AIQA,2023-03-16 01:37:03 UTC,45,3,39,4
huytd/sequencegenius,huytd,sequencegenius,2023-03-25 01:22:06 UTC,121,8,120,4
AdmTal/emoji-puzzles,AdmTal,emoji-puzzles,2023-03-25 16:36:54 UTC,34,36,35,4
smoqadam/chatgpt-toolbox,smoqadam,chatgpt-toolbox,2023-04-10 10:18:14 UTC,46,3,43,4
cube2222/cuttlefish,cube2222,cuttlefish,2023-04-11 14:54:57 UTC,89,19,86,4
dimkr/tootik,dimkr,tootik,2023-04-12 08:59:23 UTC,149,1523,139,4
logunify/dsensei,logunify,dsensei,2023-04-19 17:23:44 UTC,31,98,32,4
diohabara/pychd,diohabara,pychd,2023-04-21 04:12:11 UTC,41,23,34,4
plmercereau/chat-dbt,plmercereau,chat-dbt,2023-04-23 14:56:35 UTC,58,29,52,4
igolaizola/igogpt,igolaizola,igogpt,2023-04-23 22:14:05 UTC,73,25,67,4
Edgenesis/shifu-plugin-for-chatgpt,Edgenesis,shifu-plugin-for-chatgpt,2023-04-29 07:41:41 UTC,37,5,32,4
Integral-Healthcare/robin-ai-reviewer,Integral-Healthcare,robin-ai-reviewer,2023-05-10 15:44:46 UTC,67,95,65,4
tutim-io/react-gpt,tutim-io,react-gpt,2023-05-11 19:15:04 UTC,48,4,46,4
CyrisXD/GameDealGenie-ChatGPT-Plugin,CyrisXD,GameDealGenie-ChatGPT-Plugin,2023-05-14 08:02:14 UTC,58,17,56,4
marcocastignoli/GPTSOA,marcocastignoli,GPTSOA,2023-05-18 08:13:16 UTC,40,5,38,4
ortegaalfredo/neuroengine,ortegaalfredo,neuroengine,2023-06-11 00:13:15 UTC,44,23,45,4
itsuka-dev/plurality,itsuka-dev,plurality,2023-06-12 04:19:57 UTC,33,0,29,4
koll-ai/stable-diffusion-qrcode,koll-ai,stable-diffusion-qrcode,2023-06-24 17:41:48 UTC,33,96,29,4
wong2/bing-chat-sidebar-for-chrome,wong2,bing-chat-sidebar-for-chrome,2023-06-25 14:07:40 UTC,91,4,89,4
felixbrock/lemonai,felixbrock,lemonai,2023-07-13 18:33:13 UTC,50,25,45,4
TikkunCreation/llama-2-resources,TikkunCreation,llama-2-resources,2023-07-20 13:15:35 UTC,54,1,52,4
russellballestrini/flask-socketio-llm-completions,russellballestrini,flask-socketio-llm-completions,2023-10-28 17:42:47 UTC,37,253,34,4
Krisseck/php-rag,Krisseck,php-rag,2023-11-02 13:19:55 UTC,60,11,56,4
simulaiofficial/simulai,simulaiofficial,simulai,2023-11-03 19:37:12 UTC,88,269,87,4
fractl-io/fractl,fractl-io,fractl,2023-11-13 04:44:31 UTC,114,820,117,4
ibuildthecloud/catgpt,ibuildthecloud,catgpt,2024-01-01 19:54:33 UTC,92,7,90,4
lxe/llm-companion,lxe,llm-companion,2024-01-11 07:25:47 UTC,38,11,37,4
zby/LLMEasyTools,zby,LLMEasyTools,2024-01-16 18:59:58 UTC,58,128,54,4
baalimago/clai,baalimago,clai,2024-03-04 05:11:32 UTC,60,231,56,4
villagecomputing/superopenai,villagecomputing,superopenai,2024-03-07 23:10:00 UTC,95,5,94,4
Lamucal/Lamucal,Lamucal,Lamucal,2024-03-16 10:53:54 UTC,33,3,30,4
graphsignal/graphsignal-python,graphsignal,graphsignal-python,2021-04-13 16:16:38 UTC,66,82,61,5
jarrellmark/ai_upscaler_for_blender,jarrellmark,ai_upscaler_for_blender,2022-08-14 00:23:49 UTC,78,23,76,5
vrescobar/chatGPT-python-elm,vrescobar,chatGPT-python-elm,2022-12-04 15:40:55 UTC,110,4,106,5
tomLamprecht/Easy-ML-For-Java,tomLamprecht,Easy-ML-For-Java,2022-12-11 01:53:42 UTC,40,32,35,5
kaievns/halmak,kaievns,halmak,2022-12-20 15:35:11 UTC,173,3,155,5
nlpodyssey/verbaflow,nlpodyssey,verbaflow,2023-01-26 15:09:44 UTC,62,53,59,5
healsdata/ai-training-opt-out,healsdata,ai-training-opt-out,2023-02-05 17:52:16 UTC,130,25,128,5
verdverm/chatgpt,verdverm,chatgpt,2023-02-13 01:16:16 UTC,75,26,70,5
jackdoe/emacs-chatgpt-jarvis,jackdoe,emacs-chatgpt-jarvis,2023-02-24 16:33:02 UTC,46,25,41,5
jarrellmark/chatgpt-j,jarrellmark,chatgpt-j,2023-03-07 02:54:55 UTC,58,16,53,5
shellfly/aoi,shellfly,aoi,2023-03-19 13:53:06 UTC,111,17,113,5
wastella/dalaipy,wastella,dalaipy,2023-03-25 02:16:48 UTC,45,11,31,5
paul-gauthier/easy-chat,paul-gauthier,easy-chat,2023-03-31 13:46:34 UTC,66,41,64,5
hero-page/hero-ai-package-creator,hero-page,hero-ai-package-creator,2023-04-11 08:42:43 UTC,34,9,32,5
olup/zod-chatgpt,olup,zod-chatgpt,2023-04-13 22:08:14 UTC,123,7,120,5
truskovskiyk/pr-reviewer,truskovskiyk,pr-reviewer,2023-04-16 01:21:07 UTC,76,17,71,5
empath-nirvana/magic-happens,empath-nirvana,magic-happens,2023-04-16 20:17:31 UTC,118,9,118,5
apolloapi/apolloapi,apolloapi,apolloapi,2023-04-18 12:49:37 UTC,32,71,29,5
jostmey/NakedAttention,jostmey,NakedAttention,2023-04-28 17:54:05 UTC,139,18,135,5
ccurme/ghost,ccurme,ghost,2023-04-28 21:48:14 UTC,45,27,42,5
zackproser/automations,zackproser,automations,2023-05-16 02:29:38 UTC,75,24,73,5
lgrammel/ai-utils.js,lgrammel,ai-utils.js,2023-05-28 15:00:13 UTC,161,481,158,5
spyglass-search/memex,spyglass-search,memex,2023-06-09 04:49:40 UTC,61,63,56,5
tehruhn/ToolGPT,tehruhn,ToolGPT,2023-06-15 06:02:16 UTC,82,0,82,5
experienced-dev/chatgpt-plugin-fastapi-langchain-chroma,experienced-dev,chatgpt-plugin-fastapi-langchain-chroma,2023-06-24 11:06:59 UTC,52,1,48,5
orgexyz/LLFn,orgexyz,LLFn,2023-07-19 09:18:21 UTC,91,90,88,5
AdrianKrebs/datalens,AdrianKrebs,datalens,2023-08-01 13:24:46 UTC,88,23,86,5
aavetis/azure-openai-logger,aavetis,azure-openai-logger,2023-09-05 01:28:08 UTC,73,32,68,5
nsbradford/VimGPT,nsbradford,VimGPT,2023-09-06 19:41:46 UTC,73,93,66,5
SMUsamaShah/LookupChatGPT,SMUsamaShah,LookupChatGPT,2023-11-05 04:40:41 UTC,32,33,28,5
missingstudio/ai,missingstudio,ai,2024-02-14 19:01:28 UTC,71,76,66,5
danielclough/fireside-chat,danielclough,fireside-chat,2024-02-23 09:20:55 UTC,78,125,74,5
ftisiot/postgresql-ai-projects,ftisiot,postgresql-ai-projects,2024-02-28 13:04:04 UTC,75,14,72,5
umuthopeyildirim/DOOM-Mistral,umuthopeyildirim,DOOM-Mistral,2024-03-26 07:15:20 UTC,116,6,111,5
narenaryan/promptml,narenaryan,promptml,2024-04-27 01:59:46 UTC,40,58,40,5
brunoamaral/gregory,brunoamaral,gregory,2021-02-23 18:08:38 UTC,51,1316,54,6
sturdy-dev/suspicious,sturdy-dev,suspicious,2022-11-25 12:57:49 UTC,62,16,55,6
RetricSu/chatGPT-auto-speech,RetricSu,chatGPT-auto-speech,2022-12-07 13:52:36 UTC,52,15,46,6
dasdata/gortanagtp,dasdata,gortanagtp,2022-12-30 12:21:17 UTC,38,10,37,6
Schneegans/ai-wallpapers,Schneegans,ai-wallpapers,2023-02-16 06:50:28 UTC,81,13,74,6
fullthom/chat-gpt-quine,fullthom,chat-gpt-quine,2023-03-03 06:11:12 UTC,122,10,115,6
chatgptui/desktop,chatgptui,desktop,2023-03-07 12:32:30 UTC,111,121,102,6
andyk/recursive_llm,andyk,recursive_llm,2023-03-18 18:28:43 UTC,125,71,119,6
GerevAI/awesome-chatgpt-plugins,GerevAI,awesome-chatgpt-plugins,2023-03-24 15:03:11 UTC,117,4,113,6
Adamdad/Awesome-ComposableAI,Adamdad,Awesome-ComposableAI,2023-04-12 00:11:54 UTC,186,6,186,6
yagil/tokmon,yagil,tokmon,2023-04-13 04:32:00 UTC,59,42,57,6
Barqawiz/IntelliNode,Barqawiz,IntelliNode,2023-04-17 02:14:45 UTC,143,230,142,6
rogeriochaves/bmo,rogeriochaves,bmo,2023-05-14 20:46:30 UTC,73,55,66,6
bsilverthorn/maccarone,bsilverthorn,maccarone,2023-05-19 23:38:21 UTC,429,73,429,6
samrawal/chatgpt-localfiles,samrawal,chatgpt-localfiles,2023-06-07 21:34:54 UTC,49,5,43,6
janekb04/py2gpt,janekb04,py2gpt,2023-06-19 00:13:17 UTC,32,25,28,6
biomedia-mira/causal-gen,biomedia-mira,causal-gen,2023-07-18 22:23:45 UTC,67,9,60,6
mikeborozdin/http-streaming-request,mikeborozdin,http-streaming-request,2023-10-04 14:30:04 UTC,70,5,65,6
leonid20000/OdinRunes,leonid20000,OdinRunes,2023-10-07 05:29:02 UTC,78,28,75,6
polyfire-ai/polyfire-js,polyfire-ai,polyfire-js,2023-10-15 05:15:49 UTC,116,182,108,6
chat-stack/chat-stack,chat-stack,chat-stack,2023-10-30 07:19:16 UTC,50,4,44,6
ejones/llama-journey,ejones,llama-journey,2023-12-05 02:02:09 UTC,99,2,93,6
ask-fini/paramount,ask-fini,paramount,2023-12-05 16:39:14 UTC,201,150,204,6
parkervg/blendsql,parkervg,blendsql,2024-01-20 15:58:15 UTC,89,539,85,6
simulatrex/simulatrex-engine,simulatrex,simulatrex-engine,2024-02-02 00:10:41 UTC,68,20,64,6
taahamahdi/i18n-ai-translate,taahamahdi,i18n-ai-translate,2024-02-09 07:17:05 UTC,52,403,42,6
RichardKelley/dendron,RichardKelley,dendron,2024-02-22 08:35:10 UTC,79,66,75,6
vinhnx/VT.ai,vinhnx,VT.ai,2024-04-21 04:36:57 UTC,65,144,58,6
GammaTauAI/opentau,GammaTauAI,opentau,2022-10-09 04:48:40 UTC,107,378,99,7
Miserlou/Helix,Miserlou,Helix,2022-12-27 13:37:34 UTC,135,38,129,7
ClerkieAI/berri_ai,ClerkieAI,berri_ai,2023-02-02 04:59:02 UTC,117,34,108,7
RedisVentures/redis-ai-resources,RedisVentures,redis-ai-resources,2023-02-21 22:28:05 UTC,114,9,108,7
lennardv2/hey-chatgpt-cli,lennardv2,hey-chatgpt-cli,2023-03-10 14:33:28 UTC,43,26,42,7
closedai-project/closedai,closedai-project,closedai,2023-04-12 03:22:22 UTC,106,19,97,7
Rock-River-Research/babyds,Rock-River-Research,babyds,2023-04-17 14:57:05 UTC,71,5,66,7
Zafirmk/NewsBytes,Zafirmk,NewsBytes,2023-04-26 19:29:54 UTC,115,57,109,7
maxprilutskiy/change-report,maxprilutskiy,change-report,2023-05-09 23:03:58 UTC,48,15,41,7
gravelBridge/AI-Discord-Mod,gravelBridge,AI-Discord-Mod,2023-05-11 05:42:03 UTC,49,42,45,7
kayvr/token-hawk,kayvr,token-hawk,2023-05-18 17:28:38 UTC,146,17,141,7
abryant710/auto-codebase-documenter,abryant710,auto-codebase-documenter,2023-05-22 00:12:44 UTC,108,20,100,7
meistrari/cursive,meistrari,cursive,2023-06-19 14:48:37 UTC,112,91,104,7
Indie-Platforms/scrapecomfort,Indie-Platforms,scrapecomfort,2023-06-22 12:17:27 UTC,142,3,140,7
Frost-group/The-Oracle-of-Zotero,Frost-group,The-Oracle-of-Zotero,2023-07-12 10:27:05 UTC,368,3,368,7
suvansh/CLAIRe,suvansh,CLAIRe,2023-07-18 21:36:42 UTC,70,11,64,7
tracyhenry/GenerativeDoodleArt_VisionOS,tracyhenry,GenerativeDoodleArt_VisionOS,2023-08-09 05:04:08 UTC,110,7,101,7
BenderV/ada,BenderV,ada,2023-08-23 06:51:35 UTC,41,95,41,7
9600dev/llmvm,9600dev,llmvm,2023-08-25 01:35:34 UTC,35,325,31,7
mirableio/chat-history,mirableio,chat-history,2023-09-13 10:12:42 UTC,52,8,50,7
ma2za/telegram-llm-bot,ma2za,telegram-llm-bot,2023-09-23 19:41:48 UTC,64,3,57,7
pywebagent/pywebagent,pywebagent,pywebagent,2023-11-28 09:00:36 UTC,100,6,93,7
vladignatyev/bulktag,vladignatyev,bulktag,2023-12-04 19:23:48 UTC,66,4,62,7
datastax/SwiftieGPT,datastax,SwiftieGPT,2023-12-13 14:34:51 UTC,58,6,50,7
bufferhead-code/htmx-ai,bufferhead-code,htmx-ai,2024-01-31 11:24:39 UTC,74,4,70,7
zenmodel/zenmodel,zenmodel,zenmodel,2024-03-13 12:39:48 UTC,65,73,62,7
glance-io/steer-backend,glance-io,steer-backend,2024-05-06 12:49:42 UTC,59,53,56,7
squaredev-io/explainable-ai,squaredev-io,explainable-ai,2022-09-24 08:46:39 UTC,143,25,139,8
riverscuomo/social,riverscuomo,social,2023-01-18 22:25:15 UTC,45,27,39,8
prakhar897/workaround-gpt,prakhar897,workaround-gpt,2023-01-21 08:47:57 UTC,49,50,39,8
ThatcherC/ReplGPT.jl,ThatcherC,ReplGPT.jl,2023-03-07 22:13:38 UTC,104,60,95,8
ruogudu/PaperGPT,ruogudu,PaperGPT,2023-03-08 06:59:02 UTC,72,9,66,8
edmar/chatgpt-code-assistant,edmar,chatgpt-code-assistant,2023-04-25 19:48:09 UTC,68,4,62,8
sdan/chatmaps,sdan,chatmaps,2023-04-28 19:03:03 UTC,54,12,45,8
matteo-psnt/PokerGPT,matteo-psnt,PokerGPT,2023-05-16 01:57:59 UTC,47,45,44,8
loladotdev/smolex,loladotdev,smolex,2023-06-20 09:09:47 UTC,106,4,104,8
overflowy/chat-key,overflowy,chat-key,2023-07-06 15:14:49 UTC,98,34,94,8
linexjlin/inputGPT,linexjlin,inputGPT,2023-07-24 08:16:13 UTC,52,78,47,8
artas728/spelltest,artas728,spelltest,2023-08-11 23:12:53 UTC,129,40,124,8
jawerty/AutoStartup,jawerty,AutoStartup,2023-08-17 05:44:11 UTC,55,5,50,8
nhaouari/papersnap,nhaouari,papersnap,2023-08-21 18:00:19 UTC,87,2,84,8
allwefantasy/BYZER-RETRIEVAL,allwefantasy,BYZER-RETRIEVAL,2023-10-09 13:39:26 UTC,49,86,45,8
toshsan/embedding-server,toshsan,embedding-server,2023-10-09 16:27:40 UTC,54,11,48,8
candlefinance/react-native-openai,candlefinance,react-native-openai,2023-10-17 16:23:35 UTC,125,32,110,8
agentcasa/doda,agentcasa,doda,2023-11-15 23:00:06 UTC,129,4,124,8
Spryngtime/openai-load-balancer,Spryngtime,openai-load-balancer,2023-11-22 00:08:11 UTC,85,5,81,8
yoheinakajima/captainfunction,yoheinakajima,captainfunction,2023-12-01 23:24:20 UTC,51,18,43,8
reugn/gemini-cli,reugn,gemini-cli,2024-02-17 13:08:00 UTC,117,28,102,8
leapingio/leaping,leapingio,leaping,2024-02-27 18:50:11 UTC,253,65,250,8
javirandor/anthropic-tokenizer,javirandor,anthropic-tokenizer,2024-03-12 15:23:26 UTC,118,23,110,8
Snowboard-Software/awesome-ai-analytics,Snowboard-Software,awesome-ai-analytics,2024-04-08 10:16:39 UTC,91,18,89,8
ashvardanian/SwiftSemanticSearch,ashvardanian,SwiftSemanticSearch,2024-04-22 20:49:18 UTC,76,16,72,8
xeol-io/bumpgen,xeol-io,bumpgen,2024-04-28 13:59:36 UTC,116,172,110,8
iOliverNguyen/chatgpt-extension,iOliverNguyen,chatgpt-extension,2022-12-05 03:33:43 UTC,133,6,125,9
dglazkov/polymath,dglazkov,polymath,2022-12-27 18:08:59 UTC,126,454,127,9
ozalpozqur/photovatar,ozalpozqur,photovatar,2023-02-22 09:08:48 UTC,86,13,77,9
mpociot/llamero,mpociot,llamero,2023-03-16 23:26:49 UTC,181,1,169,9
bg-write/chatGPT-cheatsheet,bg-write,chatGPT-cheatsheet,2023-04-13 18:53:48 UTC,108,44,100,9
r2d4/llm.ts,r2d4,llm.ts,2023-05-03 02:07:25 UTC,204,13,192,9
AGIUI/Earth,AGIUI,Earth,2023-05-06 15:12:52 UTC,90,329,85,9
mattneary/attention,mattneary,attention,2023-05-11 00:51:38 UTC,186,14,178,9
sdc17/UPop,sdc17,UPop,2023-05-27 09:22:36 UTC,106,124,99,9
wolfia-app/gpt-code-search,wolfia-app,gpt-code-search,2023-06-23 17:41:54 UTC,119,66,121,9
CakeCrusher/openplugin,CakeCrusher,openplugin,2023-07-01 14:55:37 UTC,146,57,141,9
tmc/righthand,tmc,righthand,2023-07-07 03:21:05 UTC,115,5,106,9
zinedkaloc/ai-page,zinedkaloc,ai-page,2023-07-17 16:28:13 UTC,79,14,71,9
depot/depot.ai,depot,depot.ai,2023-07-18 13:02:48 UTC,91,90,78,9
phronmophobic/llama.clj,phronmophobic,llama.clj,2023-07-19 22:49:30 UTC,156,156,150,9
mallahyari/ai-starter-kit,mallahyari,ai-starter-kit,2023-11-11 04:20:06 UTC,53,0,50,9
shellc/iauto,shellc,iauto,2024-02-26 04:15:08 UTC,76,38,74,9
AIoT-MLSys-Lab/SVD-LLM,AIoT-MLSys-Lab,SVD-LLM,2024-03-13 02:35:20 UTC,143,24,125,9
ronaldmannak/PicoMLXServer,ronaldmannak,PicoMLXServer,2024-03-20 18:46:07 UTC,155,9,151,9
bennyschmidt/ragdoll-studio,bennyschmidt,ragdoll-studio,2024-03-28 18:25:28 UTC,147,114,142,9
kranzky/megahal,kranzky,megahal,2017-05-30 17:19:18 UTC,86,13,75,10
shimoku-tech/shimoku-api-python,shimoku-tech,shimoku-api-python,2021-12-23 15:51:21 UTC,63,538,65,10
