Snapshot,RepoName,Message,CommitAt,URL,Modified_markdowns
20231012_230826_commit_sharings.json,4lejandrito/fetchbook,"docs: adding readme

https://chat.openai.com/share/6b654f3c-3763-4292-92b1-3026e647e505",2023-10-06T01:01:51.000+02:00,https://github.com/4lejandrito/fetchbook/commit/11725c1a23503f31f7b7cd13188c8d9e30e822a9,['README.md']
20231012_230826_commit_sharings.json,Hajaradnan/Hajaradnan,"Create README.md

https://chat.openai.com/share/49eb1aff-ce9a-4373-ad28-348c2b5addcd",2023-09-24T14:13:30.000+01:00,https://github.com/Hajaradnan/Hajaradnan/commit/ec6241ca4370129bce7a021a4f80dff123cde103,['README.md']
20231012_230826_commit_sharings.json,pbrudny/jobsforit-de,"Update readme
* shared chat: https://chat.openai.com/share/73e56b34-fb0d-4056-bfcc-daf800b5d213",2023-09-07T21:59:09.000+02:00,https://github.com/pbrudny/jobsforit-de/commit/cfb4dc480558f97f890159271237cec86874678f,['README.md']
20231012_230826_commit_sharings.json,eshreyareddy/prompting-zomato-reviews,"Update README.md

https://chat.openai.com/share/52d67aed-45fa-451d-bb95-46d8ba642fa8",2023-09-04T10:49:30.000+05:30,https://github.com/eshreyareddy/prompting-zomato-reviews/commit/075750d66c6392147b7cccca28f7c225d9fa6545,['README.md']
20231012_230826_commit_sharings.json,jordanbell2357/resume,"chatgpt

https://chat.openai.com/share/2b616e34-2067-4682-adbd-9e57fe381f66",2023-08-22T22:14:22.000-04:00,https://github.com/jordanbell2357/resume/commit/25b8daf69cee3adf71a43a2e235c1143df5ee5ad,"['2023-08-22.md', 'ChatGPT.md']"
20231012_230826_commit_sharings.json,p3ob7o/Speak,Refactored entirely based on https://chat.openai.com/share/c89e041e-ea23-42f9-972f-8543f4407db7,2023-07-06T11:20:49.000-05:00,https://github.com/p3ob7o/Speak/commit/01cec3e3d17e26f703ce8bf7aa068d3f6b6364d3,"['node_modules/accepts/HISTORY.md', 'node_modules/accepts/README.md', 'node_modules/array-flatten/README.md', 'node_modules/asynckit/README.md', 'node_modules/axios/CHANGELOG.md', 'node_modules/axios/MIGRATION_GUIDE.md', 'node_modules/axios/README.md', 'node_modules/axios/SECURITY.md', 'node_modules/axios/lib/adapters/README.md', 'node_modules/axios/lib/core/README.md', 'node_modules/axios/lib/env/README.md', 'node_modules/axios/lib/helpers/README.md', 'node_modules/body-parser/HISTORY.md', 'node_modules/body-parser/README.md', 'node_modules/body-parser/SECURITY.md', 'node_modules/bytes/History.md', 'node_modules/bytes/Readme.md', 'node_modules/call-bind/CHANGELOG.md', 'node_modules/call-bind/README.md', 'node_modules/combined-stream/Readme.md', 'node_modules/content-disposition/HISTORY.md', 'node_modules/content-disposition/README.md', 'node_modules/content-disposition/node_modules/safe-buffer/README.md', 'node_modules/content-type/HISTORY.md', 'node_modules/content-type/README.md', 'node_modules/cookie-signature/History.md', 'node_modules/cookie-signature/Readme.md', 'node_modules/cookie/HISTORY.md', 'node_modules/cookie/README.md', 'node_modules/cookie/SECURITY.md', 'node_modules/debug/CHANGELOG.md', 'node_modules/debug/README.md', 'node_modules/delayed-stream/Readme.md', 'node_modules/depd/History.md', 'node_modules/depd/Readme.md', 'node_modules/destroy/README.md', 'node_modules/dotenv/CHANGELOG.md', 'node_modules/dotenv/README-es.md', 'node_modules/dotenv/README.md', 'node_modules/ee-first/README.md', 'node_modules/encodeurl/HISTORY.md', 'node_modules/encodeurl/README.md', 'node_modules/escape-html/Readme.md', 'node_modules/etag/HISTORY.md', 'node_modules/etag/README.md', 'node_modules/express/History.md', 'node_modules/express/Readme.md', 'node_modules/express/node_modules/safe-buffer/README.md', 'node_modules/finalhandler/HISTORY.md', 'node_modules/finalhandler/README.md', 'node_modules/finalhandler/SECURITY.md', 'node_modules/follow-redirects/README.md', 'node_modules/form-data/README.md.bak', 'node_modules/form-data/Readme.md', 'node_modules/forwarded/HISTORY.md', 'node_modules/forwarded/README.md', 'node_modules/fresh/HISTORY.md', 'node_modules/fresh/README.md', 'node_modules/function-bind/README.md']"
20231012_230826_commit_sharings.json,tisztamo/vueyourcv,"Update README.md

https://chat.openai.com/share/be79a950-1231-4e55-aae0-2a90d8962d1d",2023-06-26T13:49:10.000+02:00,https://github.com/tisztamo/vueyourcv/commit/6d454ee9b01535bb252bcbdf2e0abf13b6bcda59,['README.md']
20231012_230826_commit_sharings.json,CPSC-1520/CPSC-1520-Workbook-A02-dgilleland,"Update lesson 011

Draft content generated through ChatGPT:

https://chat.openai.com/share/4cb1ea21-fb2a-4d93-bb05-2d5f2a8e9514",2023-09-28T05:49:17.000-06:00,https://github.com/CPSC-1520/CPSC-1520-Workbook-A02-dgilleland/commit/a10ee2fe07a59ab954b8e81f39de2e95fa9e77c0,['src/011/ReadMe.md']
20231012_230826_commit_sharings.json,Hack23/cia,"Update dashboard.md

chatlog https://chat.openai.com/share/67ff0200-dad4-48f2-884e-ccada57974f6",2023-07-09T11:33:06.000+02:00,https://github.com/Hack23/cia/commit/7b8639cb17b0da8317152148c1376851cf0832ee,['dashboard.md']
20231012_230826_commit_sharings.json,mgalgs/github-pr-fetch,"Initial working version

Thanks, ChatGPT!

https://chat.openai.com/share/7a56efac-27c4-4bac-a3cd-e11588e66dfd",2023-07-07T11:55:23.000-07:00,https://github.com/mgalgs/github-pr-fetch/commit/1711acb07b6ace3c6218dc3f47e5a5914c142887,['README.md']
20231012_230826_commit_sharings.json,larrywright/larrywright.me,Made some tweaks to the CSS based on input from ChatGPT. https://chat.openai.com/share/0bd99bcb-a395-4175-a7a1-e7491b544747,2023-09-23T14:30:20.000-05:00,https://github.com/larrywright/larrywright.me/commit/4ea2a77cb2a7ffdd598737510894e243d8deaf9e,['themes/larrywright.me/archetypes/til.md']
20231012_230826_commit_sharings.json,Loknar/loka-ord,"chatgpt útbjó eitt orð í grunninn

sjá https://chat.openai.com/share/3a4e9c46-3d2f-4822-971f-dde938aa1685",2023-06-10T14:16:16.000Z,https://github.com/Loknar/loka-ord/commit/cf961d60645026c1ae6cd623bc31a7395ac14305,['README.md']
20231012_230826_commit_sharings.json,kevinveenbirkenbach/computer-playbook,Optimized udev rules for backup to usb with the help of chat gpt https://chat.openai.com/share/a75ca771-d8a4-4b75-9912-c515ba371ae4,2023-05-27T23:04:22.000+02:00,https://github.com/kevinveenbirkenbach/computer-playbook/commit/9138a1f2b2d2b7e5cd1cca82aecf00d165b044ce,"['roles/independent_backup-to-swappable/README.md', 'roles/independent_backup-to-usb/README.md']"
20231012_230826_commit_sharings.json,harryallerston/RPI-Wireless-Hotspot,"Re-word feature list

I wasn't sure about how to improve this feature list, but it felt a bit clunky, so I asked ChatGPT. 

https://chat.openai.com/share/d59b3439-1980-4146-9ef3-56a080da9f5c",2023-06-01T21:42:06.000-06:00,https://github.com/harryallerston/RPI-Wireless-Hotspot/commit/36f0e57b9d2f89587446eb08c2ae8500e8068544,['README.md']
20231012_230826_commit_sharings.json,labd/terraform-provider-storyblok,"Improve docs to include examples (#9)

Examples are generated by ChatGPT, by feeding the Golang resource schema
to it.

In case you want to know how this was done:
https://chat.openai.com/share/ab97b22f-d1e0-4fea-9cd7-2ad70223c88d",2023-06-08T16:10:39.000+02:00,https://github.com/labd/terraform-provider-storyblok/commit/b0c2cc2faf4e0f64d242b35c52050aaac288176b,"['docs/index.md', 'docs/resources/component.md', 'docs/resources/component_group.md']"
20231012_230826_commit_sharings.json,TurboWarp/extensions,"Policy on AI (ChatGPT, Bard, etc.) (#1035)

Example of why you shouldn't use ChatGPT:
https://chat.openai.com/share/245724e7-0a3c-4001-9fef-fb72c4a4acc6

Everything except the last code block is hallucinated garbage, and even
the code block is still worse than useless as it uses ScratchX so it can
never be accepted here.",2023-09-22T09:31:09.000-05:00,https://github.com/TurboWarp/extensions/commit/fa3168e6fafbd5e06d2dee0c767fa4c9f3a6d5b1,['CONTRIBUTING.md']
